epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4095,1.3914,1.98334,1.10869,0.64628,0.70407,0.68463,0.40624,1.27939,1.32693,1.10871,0.000207745,0.000207745,0.000207745
2,167.041,1.26951,1.23443,1.07507,0.78767,0.78202,0.83556,0.51528,1.24922,1.0108,1.10967,0.000415977,0.000415977,0.000415977
3,250.4,1.25291,1.11571,1.06991,0.83661,0.80259,0.87459,0.54828,1.20693,0.90514,1.10637,0.000623802,0.000623802,0.000623802
4,335.563,1.24109,1.03827,1.06584,0.85515,0.83131,0.89077,0.54887,1.25608,0.90682,1.12393,0.000623627,0.000623627,0.000623627
5,418.2,1.23091,0.97443,1.06465,0.88301,0.853,0.90777,0.59503,1.12306,0.75694,1.07318,0.00062256,0.00062256,0.00062256
6,501.008,1.21313,0.92479,1.05522,0.8919,0.85898,0.91979,0.60019,1.10377,0.72641,1.06175,0.000621191,0.000621191,0.000621191
7,583.365,1.19765,0.88988,1.04814,0.89893,0.86686,0.91762,0.59838,1.12589,0.72844,1.06317,0.00061952,0.00061952,0.00061952
8,666.012,1.18724,0.85428,1.0404,0.91186,0.88208,0.92728,0.59724,1.15628,0.67641,1.07076,0.000617549,0.000617549,0.000617549
9,748.033,1.16963,0.82661,1.03557,0.91475,0.89052,0.92882,0.60659,1.13896,0.64336,1.06574,0.00061528,0.00061528,0.00061528
10,831.433,1.16687,0.81078,1.03499,0.91802,0.88261,0.92811,0.61314,1.11127,0.63427,1.05874,0.000612716,0.000612716,0.000612716
11,913.436,1.15635,0.79162,1.02734,0.925,0.88531,0.9323,0.60362,1.14467,0.63836,1.06572,0.000609858,0.000609858,0.000609858
12,995.712,1.14477,0.77478,1.02902,0.91817,0.89162,0.93423,0.62094,1.11172,0.60437,1.06601,0.00060671,0.00060671,0.00060671
13,1075.66,1.14796,0.7621,1.026,0.93161,0.9026,0.93794,0.62968,1.08028,0.58391,1.05391,0.000603275,0.000603275,0.000603275
14,1158.44,1.12972,0.74055,1.02266,0.93561,0.90855,0.94267,0.6314,1.0879,0.56444,1.04775,0.000599555,0.000599555,0.000599555
15,1242.77,1.12314,0.72752,1.01782,0.93076,0.90747,0.93918,0.62827,1.06965,0.56249,1.04582,0.000595556,0.000595556,0.000595556
16,1324.82,1.11614,0.71874,1.0121,0.93211,0.90693,0.94065,0.63226,1.05569,0.57064,1.04079,0.00059128,0.00059128,0.00059128
17,1407.05,1.12251,0.71596,1.0146,0.93104,0.90745,0.93912,0.63354,1.05848,0.55137,1.04097,0.000586732,0.000586732,0.000586732
